state,month,year,dem_percentage,gop_percentage,winner,margin
FL,Nov,2020,47.0,42.0,D,5.0
FL,Nov,2020,53.0,46.0,D,7.0
FL,Nov,2020,51.0,48.0,D,3.0
FL,Nov,2020,50.0,46.0,D,4.0
FL,Nov,2020,50.0,46.0,D,4.0
FL,Nov,2020,51.0,47.0,D,4.0
FL,Oct,2020,51.0,49.0,D,2.0
FL,Oct,2020,48.0,47.0,D,1.0
FL,Oct,2020,47.0,44.0,D,3.0
FL,Oct,2020,52.0,45.0,D,7.0
FL,Oct,2020,49.0,48.0,D,1.0
FL,Oct,2020,51.0,47.0,D,4.0
FL,Oct,2020,52.0,45.0,D,7.0
FL,Oct,2020,49.0,48.0,D,1.0
FL,Oct,2020,51.0,47.0,D,4.0
FL,Oct,2020,48.5,48.5,E,0.0
FL,Oct,2020,52.0,45.0,D,7.0
FL,Oct,2020,50.0,47.0,D,3.0
FL,Oct,2020,48.0,50.0,R,2.0
FL,Oct,2020,50.0,46.0,D,4.0
FL,Oct,2020,47.0,50.0,R,3.0
FL,Oct,2020,50.0,45.0,D,5.0
FL,Oct,2020,51.0,45.0,D,6.0
FL,Oct,2020,50.0,46.0,D,4.0
FL,Oct,2020,48.0,50.0,R,2.0
FL,Oct,2020,51.0,47.0,D,4.0
FL,Oct,2020,45.0,42.0,D,3.0
FL,Oct,2020,48.0,47.0,D,1.0
FL,Oct,2020,49.0,47.0,D,2.0
FL,Oct,2020,46.0,51.0,R,5.0
FL,Oct,2020,48.0,46.0,D,2.0
FL,Oct,2020,47.0,50.0,R,3.0
FL,Oct,2020,50.0,48.0,D,2.0
FL,Oct,2020,44.0,49.0,R,5.0
FL,Oct,2020,49.0,46.0,D,3.0
FL,Oct,2020,45.0,47.0,R,2.0
FL,Oct,2020,47.0,48.0,R,1.0
FL,Oct,2020,50.0,48.0,D,2.0
FL,Oct,2020,49.0,47.0,D,2.0
FL,Oct,2020,50.0,48.0,D,2.0
FL,Oct,2020,52.0,46.0,D,6.0
FL,Oct,2020,46.0,48.0,R,2.0
FL,Oct,2020,46.0,50.0,R,4.0
FL,Oct,2020,51.0,46.0,D,5.0
FL,Oct,2020,50.0,46.0,D,4.0
FL,Oct,2020,50.0,45.0,D,5.0
FL,Oct,2020,51.0,47.0,D,4.0
FL,Oct,2020,50.0,46.0,D,4.0
FL,Oct,2020,52.0,45.0,D,7.0
FL,Oct,2020,50.0,45.0,D,5.0
FL,Oct,2020,48.0,47.0,D,1.0
FL,Oct,2020,48.0,48.0,E,0.0
FL,Oct,2020,50.0,47.0,D,3.0
FL,Oct,2020,49.0,47.0,D,2.0
FL,Oct,2020,46.0,48.0,R,2.0
FL,Oct,2020,50.0,44.0,D,6.0
FL,Oct,2020,49.0,47.0,D,2.0
FL,Oct,2020,51.0,48.0,D,3.0
FL,Oct,2020,48.0,45.0,D,3.0
FL,Oct,2020,47.0,40.0,D,7.0
FL,Oct,2020,48.0,39.0,D,9.0
FL,Oct,2020,46.0,41.0,D,5.0
FL,Oct,2020,51.0,46.0,D,5.0
FL,Oct,2020,53.0,42.0,D,11.0
FL,Oct,2020,51.0,47.0,D,4.0
FL,Oct,2020,48.0,46.0,D,2.0
FL,Oct,2020,50.0,44.0,D,6.0
FL,Oct,2020,46.0,47.0,R,1.0
FL,Oct,2020,46.0,49.0,R,3.0
FL,Oct,2020,49.0,47.0,D,2.0
FL,Oct,2020,49.0,45.0,D,4.0
FL,Oct,2020,49.0,44.0,D,5.0
FL,Oct,2020,51.0,40.0,D,11.0
FL,Oct,2020,50.0,46.0,D,4.0
FL,Oct,2020,45.0,45.0,E,0.0
FL,Oct,2020,45.0,46.0,R,1.0
FL,Oct,2020,51.0,45.0,D,6.0
FL,Oct,2020,50.0,44.0,D,6.0
FL,Oct,2020,47.0,42.0,D,5.0
FL,Sep,2020,51.0,47.0,D,4.0
FL,Sep,2020,49.0,44.0,D,5.0
FL,Sep,2020,46.0,43.0,D,3.0
FL,Sep,2020,48.0,43.0,D,5.0
FL,Sep,2020,50.0,47.0,D,3.0
FL,Sep,2020,46.0,43.0,D,3.0
FL,Sep,2020,49.0,46.0,D,3.0
FL,Sep,2020,47.0,51.0,R,4.0
FL,Sep,2020,51.0,45.0,D,6.0
FL,Sep,2020,48.0,46.0,D,2.0
FL,Sep,2020,47.0,47.0,E,0.0
FL,Sep,2020,47.0,44.0,D,3.0
FL,Sep,2020,50.0,45.0,D,5.0
FL,Sep,2020,50.0,45.0,D,5.0
FL,Sep,2020,49.0,46.0,D,3.0
FL,Sep,2020,43.0,42.0,D,1.0
FL,Sep,2020,50.0,50.0,E,0.0
FL,Sep,2020,50.0,47.0,D,3.0
FL,Sep,2020,48.0,46.0,D,2.0
FL,Sep,2020,50.0,43.0,D,7.0
FL,Sep,2020,49.0,46.0,D,3.0
FL,Sep,2020,48.0,48.0,E,0.0
FL,Sep,2020,46.0,49.0,R,3.0
FL,Sep,2020,48.0,43.0,D,5.0
FL,Sep,2020,51.0,46.0,D,5.0
FL,Sep,2020,48.0,45.0,D,3.0
FL,Aug,2020,48.0,50.0,R,2.0
FL,Aug,2020,49.0,47.0,D,2.0
FL,Aug,2020,50.0,43.0,D,7.0
FL,Aug,2020,49.0,46.0,D,3.0
FL,Aug,2020,48.0,44.0,D,4.0
FL,Aug,2020,49.0,41.0,D,8.0
FL,Aug,2020,50.0,45.0,D,5.0
FL,Aug,2020,46.0,44.0,D,2.0
FL,Aug,2020,50.0,44.0,D,6.0
FL,Aug,2020,49.0,49.0,E,0.0
FL,Jul,2020,49.0,48.0,D,1.0
FL,Jul,2020,48.0,45.0,D,3.0
FL,Jul,2020,49.0,46.0,D,3.0
FL,Jul,2020,49.0,45.0,D,4.0
FL,Jul,2020,51.0,46.0,D,5.0
FL,Jul,2020,43.0,43.0,E,0.0
FL,Jul,2020,50.0,46.0,D,4.0
FL,Jul,2020,48.0,41.0,D,7.0
FL,Jul,2020,51.0,38.0,D,13.0
FL,Jul,2020,50.0,45.0,D,5.0
FL,Jul,2020,50.0,44.0,D,6.0
FL,Jul,2020,53.0,43.0,D,10.0
FL,Jul,2020,50.0,43.0,D,7.0
FL,Jul,2020,48.0,42.0,D,6.0
FL,Jul,2020,49.0,46.0,D,3.0
FL,Jul,2020,46.0,46.0,E,0.0
FL,Jun,2020,47.0,51.0,R,4.0
FL,Jun,2020,50.0,45.0,D,5.0
FL,Jun,2020,49.0,45.0,D,4.0
FL,Jun,2020,49.0,40.0,D,9.0
FL,Jun,2020,47.0,41.0,D,6.0
FL,Jun,2020,45.0,41.0,D,4.0
FL,Jun,2020,50.0,45.0,D,5.0
FL,Jun,2020,50.0,43.0,D,7.0
FL,Jun,2020,50.0,50.0,E,0.0
FL,Jun,2020,51.0,40.0,D,11.0
FL,Jun,2020,47.0,48.0,R,1.0
FL,May,2020,48.0,45.0,D,3.0
FL,May,2020,47.0,43.8,D,3.200000000000003
FL,May,2020,47.5,46.7,D,0.7999999999999972
FL,May,2020,47.0,48.0,R,1.0
FL,May,2020,47.0,48.0,R,1.0
FL,May,2020,45.0,44.0,D,1.0
FL,May,2020,52.0,48.0,D,4.0
FL,May,2020,45.0,50.0,R,5.0
FL,May,2020,45.0,43.0,D,2.0
FL,May,2020,53.0,47.0,D,6.0
FL,Apr,2020,46.0,43.0,D,3.0
FL,Apr,2020,46.0,42.0,D,4.0
FL,Apr,2020,48.0,48.0,E,0.0
FL,Apr,2020,46.0,40.0,D,6.0
FL,Mar,2020,45.0,45.0,E,0.0
FL,Mar,2020,45.0,48.0,R,3.0
FL,Mar,2020,49.0,51.0,R,2.0
FL,Feb,2020,45.0,45.0,E,0.0
FL,Feb,2020,51.0,40.0,D,11.0
FL,Feb,2020,49.0,48.0,D,1.0
FL,Jan,2020,51.0,49.0,D,2.0
FL,Jan,2020,45.0,49.0,R,4.0
FL,Dec,2019,47.0,45.0,D,2.0
FL,Oct,2019,46.0,44.0,D,2.0
FL,Oct,2019,48.0,43.0,D,5.0
FL,Sep,2019,49.5,50.5,R,1.0
FL,Jun,2019,50.0,41.0,D,9.0
FL,Jun,2019,47.0,47.0,E,0.0
FL,May,2019,50.0,50.0,E,0.0
FL,Apr,2019,44.0,48.0,R,4.0
GA,Nov,2020,45.0,50.0,R,5.0
GA,Nov,2020,50.0,48.0,D,2.0
GA,Nov,2020,46.0,50.0,R,4.0
GA,Nov,2020,46.0,48.0,R,2.0
GA,Nov,2020,52.0,48.0,D,4.0
GA,Nov,2020,54.0,44.0,D,10.0
GA,Nov,2020,50.0,48.0,D,2.0
GA,Oct,2020,46.0,48.0,R,2.0
